epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1056.16,1.23021,0.76686,1.38846,0.54737,0.81222,0.7609,0.4383,1.89714,1.14011,2.07548,0.0002971,0.0002971,0.0002971
73,1142.29,1.20301,0.76749,1.36402,0.68076,0.77854,0.67501,0.342,1.84967,1.12246,2.07382,0.0002872,0.0002872,0.0002872
74,1226.6,1.17474,0.73789,1.35374,0.57891,0.78326,0.65408,0.32946,1.8892,1.15536,2.09572,0.0002773,0.0002773,0.0002773
75,1312.49,1.18682,0.71927,1.36331,0.67863,0.73653,0.66982,0.31717,1.89905,1.15195,2.11705,0.0002674,0.0002674,0.0002674
76,1396.93,1.15733,0.71475,1.32881,0.61624,0.81447,0.76822,0.39931,1.90873,1.16299,2.13089,0.0002575,0.0002575,0.0002575
77,1482.72,1.1665,0.718,1.33737,0.76682,0.71668,0.75442,0.35315,1.91603,1.16409,2.14913,0.0002476,0.0002476,0.0002476
78,1567.22,1.14689,0.70398,1.32442,0.60156,0.81635,0.75537,0.34438,1.87682,1.14513,2.13365,0.0002377,0.0002377,0.0002377
79,1653.47,1.14421,0.69988,1.33119,0.7249,0.76437,0.75308,0.37869,1.89813,1.14184,2.14518,0.0002278,0.0002278,0.0002278
80,1738,1.14183,0.69695,1.32798,0.75373,0.75276,0.75334,0.39222,1.91127,1.13512,2.17517,0.0002179,0.0002179,0.0002179
81,1824.32,1.09878,0.67626,1.29713,0.73889,0.76568,0.76139,0.35672,1.92999,1.12464,2.18192,0.000208,0.000208,0.000208
82,1945.21,1.12323,0.69313,1.32684,0.76883,0.74097,0.76847,0.35905,1.92377,1.14481,2.15907,0.0001981,0.0001981,0.0001981
82,83.7191,1.02418,0.70433,1.27077,0.74881,0.80977,0.7762,0.3963,1.92821,1.18311,2.23681,0.0001981,0.0001981,0.0001981
83,168.838,1.00448,0.6316,1.25322,0.76518,0.75783,0.75749,0.37648,1.93629,1.17614,2.23715,0.0001882,0.0001882,0.0001882
84,252.667,0.97725,0.60098,1.23233,0.6269,0.80326,0.76674,0.39525,1.94548,1.17741,2.27679,0.0001783,0.0001783,0.0001783
85,338.167,0.99189,0.59625,1.24347,0.7779,0.71792,0.75767,0.37053,1.98108,1.2013,2.27376,0.0001684,0.0001684,0.0001684
86,422.666,0.95866,0.5852,1.22195,0.78823,0.73336,0.76138,0.37539,1.93345,1.17519,2.27391,0.0001585,0.0001585,0.0001585
